part_number,qty,amount
423207-11200-E24,812,2275
423207-11200-E2V,821,2284
423207-11200-G3C,830,2293
423207-11200-J4N,839,2302
484170-10330-BD3,848,2311
484170-10330-CDC,857,2320
484170-10330-BDB,866,2329
484170-10330-DDS,875,2338
484170-10330-DDR,884,2347
484170-10330-ADE,893,2356
484170-10330-KD3,902,2365
423110-13260-BD3,911,2374
423110-13260-CDC,920,2383
423110-13260-BDB,929,2392
423110-13260-DDS,938,2401
423110-13260-DDR,947,2410
423110-13260-ADE,956,2419
423110-13260-KD3,965,2428
423275-10800-BD3,974,2437
423275-10800-CDC,983,2446
423275-10800-BDB,992,2455
423275-10800-DDS,1001,2464
423275-10800-DDR,1010,2473
423275-10800-ADE,1019,2482
423275-10800-KD3,1028,2491
423205-10470-BD3,1037,2500
423205-10470-CDC,1046,2509
423205-10470-BDB,1055,2518
423205-10470-DDS,1064,2527
423205-10470-DDR,1073,2536
423205-10470-ADE,1082,2545
423205-10470-KD3,1091,2554
423207-10540-BD3,1100,2563
423207-10540-CDC,1109,2572
423207-10540-BDB,1118,2581
423207-10540-DDS,1127,2590
423207-10540-DDR,1136,2599
423207-10540-ADE,1145,2608
423207-10540-KD3,1154,2617
423110-13690-C0K,1163,2626
423110-13690-J4E,1172,2635
423110-13690-B3M,1181,2644
423110-13690-A0A,1190,2653
423110-13690-D2X,1199,2662
423110-13690-B1L,1208,2671
423120-13690-C0K,1217,2680
423120-13690-J4E,1226,2689
423120-13690-B3M,1235,2698
423120-13690-A0A,1244,2707
423120-13690-D2X,1253,2716
423120-13690-B1L,1262,2725
423130-11790-C0K,1271,2734
423130-11790-J4E,1280,2743
423130-11790-B3M,1289,2752
423130-11790-A0A,1298,2761
423130-11790-D2X,1307,2770
423130-11790-B1L,1316,2779
423140-11790-C0K,1325,2788
423140-11790-J4E,1334,2797
423140-11790-B3M,1343,2806
423140-11790-A0A,1352,2815
423140-11790-D2X,5,100
423140-11790-B1L,8,160
423110-13710-BD3,11,220
423110-13710-CDC,14,280
423110-13710-BDB,17,340
423110-13710-DDS,20,400
423110-13710-DDR,23,460
423110-13710-ADE,26,520
423110-13710-KD3,29,580
423110-13710-KD4,32,640
423275-10290-BD3,35,700
423275-10290-CDC,38,760
423275-10290-BDB,41,820
423275-10290-DDS,44,880
423275-10290-DDR,47,940
423275-10290-ADE,50,1000
423275-10290-KD3,53,1060
423275-10290-KD4,56,1120
423205-10180-BD3,59,1180
423205-10180-CDC,62,1240
423205-10180-BDB,65,1300
423205-10180-DDS,68,1360
423205-10180-DDR,71,1420
423205-10180-ADE,74,1480
423205-10180-KD3,77,1540
423205-10180-KD4,78,1541
423207-10220-BD3,79,1542
423207-10220-CDC,80,1543
423207-10220-BDB,81,1544
423207-10220-DDS,82,1545
423207-10220-DDR,83,1546
423207-10220-ADE,84,1547
423207-10220-KD3,85,1548
423207-10220-KD4,86,1549
423111-10250-A01,87,1550
423111-10250-A0U,88,1551
423111-10250-B1L,89,1552
423111-10250-B2M,90,1553
423111-10250-C0H,91,1554
423111-10250-D2X,92,1555
423111-10250-F10,93,1556
423111-10250-E37,94,1557
423111-10250-E38,95,1558
423111-10250-J4F,96,1559
423111-10250,97,1560
423275-10010-A01,98,1561
423275-10010-A0U,99,1562
423275-10010-B1L,100,1563
423275-10010-B2M,101,1564
423275-10010-C0H,110,1573
423275-10010-D2X,119,1582
423275-10010-F10,128,1591
423275-10010-E37,137,1600
423275-10010-E38,146,1609
423275-10010-J4F,155,1618
423275-10010,164,1627
423207-10420-A01,173,1636
423207-10420-A0U,182,1645
423207-10420-B1L,191,1654
423207-10420-B2M,200,1663
423207-10420-C0H,209,1672
423207-10420-D2X,218,1681
423207-10420-F10,227,1690
423207-10420-E37,236,1699
423207-10420-E38,245,1708
423207-10420-J4F,254,1717
423207-10420-J3P,263,1726
484170-10870-A01,272,1735
484170-10870-B1L,281,1744
484170-10870-B2M,290,1753
484170-10870-C0H,299,1762
484170-10870-E37,308,1771
484170-10870-F10,317,1780
484170-10870-E2N,326,1789
423110-14180-A01,335,1798
423110-14180-B1L,344,1807
423110-14180-B2M,353,1816
423110-14180-C0H,362,1825
423110-14180-E37,371,1834
423110-14180-F10,380,1843
423110-14180-E2N,389,1852
423130-11870-A01,398,1861
423130-11870-B1L,407,1870
423130-11870-B2M,416,1879
423130-11870-C0H,425,1888
423130-11870-E37,434,1897
423130-11870-F10,443,1906
423130-11870-E2N,452,1915
423275-11050-A01,461,1924
423275-11050-B1L,470,1933
423275-11050-B2M,479,1942
423275-11050-C0H,488,1951
423275-11050-E37,497,1960
423275-11050-F10,506,1969
423275-11050-E2N,515,1978
423205-10720-A01,524,1987
423205-10720-B1L,533,1996
423205-10720-B2M,542,2005
423205-10720-C0H,551,2014
423205-10720-E37,560,2023
423205-10720-F10,569,2032
423205-10720-E2N,578,2041
423110-13820-A01,587,2050
423110-13820-A0U,596,2059
423110-13820-B2M,605,2068
423110-13820-B1R,614,2077
423110-13820-C0H,623,2086
423110-13820-E35,632,2095
423110-13820-E24,641,2104
423110-13820-E2V,650,2113
423110-13820-G3C,659,2122
423110-13820-J4N,668,2131
423275-11920-A01,677,2140
423275-11920-A0U,686,2149
423275-11920-B2M,695,2158
423275-11920-B1R,704,2167
423275-11920-C0H,713,2176
423275-11920-E35,722,2185
423275-11920-E24,731,2194
423275-11920-E2V,740,2203
423275-11920-G3C,749,2212
423275-11920-J4N,758,2221
423205-11480-A01,767,2230
423205-11480-A0U,776,2239
423205-11480-B2M,785,2248
423205-11480-B1R,794,2257
423205-11480-C0H,803,2266
423205-11480-E35,812,2275
423205-11480-E24,821,2284
423205-11480-E2V,830,2293
423205-11480-G3C,839,2302
423205-11480-J4N,848,2311
423207-11200-A01,857,2320
423207-11200-A0U,866,2329
423207-11200-B2M,875,2338
423207-11200-B1R,884,2347
423207-11200-C0H,893,2356
423207-11200-E35,902,2365
423207-11200-E24,911,2374
423207-11200-E2V,920,2383
423207-11200-G3C,929,2392
423207-11200-J4N,938,2401
484170-10330-BD3,947,2410
484170-10330-CDC,956,2419
484170-10330-BDB,965,2428
484170-10330-DDS,974,2437
484170-10330-DDR,983,2446
484170-10330-ADE,992,2455
484170-10330-KD3,1001,2464
423110-13260-BD3,1010,2473
423110-13260-CDC,1019,2482
423110-13260-BDB,1028,2491
423110-13260-DDS,1037,2500
423110-13260-DDR,1046,2509
423110-13260-ADE,1055,2518
423110-13260-KD3,1064,2527
423275-10800-BD3,1073,2536
423275-10800-CDC,1082,2545
423275-10800-BDB,1091,2554
423275-10800-DDS,1100,2563
423275-10800-DDR,1109,2572
423275-10800-ADE,1118,2581
423275-10800-KD3,1127,2590
423205-10470-BD3,1136,2599
423205-10470-CDC,1145,2608
423205-10470-BDB,1154,2617
423205-10470-DDS,1163,2626
423205-10470-DDR,1172,2635
423205-10470-ADE,1181,2644
423205-10470-KD3,1190,2653
423207-10540-BD3,1199,2662
423207-10540-CDC,1208,2671
423207-10540-BDB,1217,2680
423207-10540-DDS,1226,2689
423207-10540-DDR,1235,2698
423207-10540-ADE,1244,2707
423207-10540-KD3,1253,2716
423194-10030,1262,2725
423115-10080,1271,2734
423325-10020,1280,2743
423196-10020,1289,2752
423194-10110,1298,2761
423115-10500,1307,2770
423351-10380,1316,2779
484120-10150,1325,2788
484105-10150,1334,2797
423194-10180,1343,2806
423196-10330,1352,2815
423116-10780,5,100
484120-10771,8,160
423281-10190,11,220
423116-11030,14,280
423116-11040,17,340
484133-10570,20,400
484107-10140,23,460
423196-10230,26,520
423141-10220,29,580
423111-12440,32,640
982411-04030,35,700
423175-10200,38,760
423194-10070,41,820
423357-10100,44,880
982411-06086,47,940
423185-10060,50,1000
423181-10870,53,1060
423175-10470,56,1120
423112-10850,59,1180
423186-10060,62,1240
423182-10690,65,1300
423188-10050,68,1360
994612-10400,71,1420
423196-10250,74,1480
423181-11070,77,1540
423185-10040,78,1541
423186-10040,79,1542
423194-10250,80,1543
423192-10221,81,1544
423196-10220,82,1545
423175-10610,83,1546
423181-11450,84,1547
423186-10040,85,1548
424195-10040,86,1549
423251-10070,87,1550
423176-10610,88,1551
423182-11450,89,1552
423186-10020,90,1553
423196-10100,91,1554
423173-10180,92,1555
423177-10580,93,1556
423181-11340,94,1557
423313-11300,95,1558
423174-10180,96,1559
423177-10580,97,1560
423182-10890,98,1561
423314-11300,99,1562
423171-10750,100,1563
423105-11660,101,1564
423106-11660,110,1573
423107-11770,119,1582
423108-11770,128,1591
423110-10670,137,1600
423110-13710,146,1609
423110-13710,155,1618
423110-13710,164,1627
423110-13710,173,1636
423110-13710,182,1645
423110-13710,191,1654
423110-13710,200,1663
423110-13710,209,1672
423110-10670,218,1681
423110-13710,227,1690
423110-13710,236,1699
484170-10330-Z2S,245,1708
484170-10330,254,1717
484170-10330,263,1726
484170-10330,272,1735
484170-10330,281,1744
484170-10330,290,1753
423110-13260,299,1762
423110-13260,308,1771
423110-13260,317,1780
423110-13260,326,1789
423110-13260,335,1798
423110-13260,344,1807
423205-10180,353,1816
423205-10180,362,1825
423205-10180,371,1834
423205-10180,380,1843
423205-10180,389,1852
423205-10180,398,1861
423205-10180,407,1870
423205-10180,416,1879
423207-10220,425,1888
423207-10220,434,1897
423207-10220,443,1906
423207-10220,452,1915
423207-10220,461,1924
423207-10220,470,1933
423207-10220,479,1942
423207-10220,488,1951
423205-10180,497,1960
423205-10180,506,1969
423207-10220,515,1978
423207-10220,524,1987
423205-10470,533,1996
423205-10740,542,2005
423205-10470,551,2014
423205-10470,560,2023
423205-10470,569,2032
423205-10470,578,2041
423207-10540,587,2050
423207-10540,596,2059
423207-10540,605,2068
423207-10540,614,2077
423207-10540,623,2086
423207-10540,632,2095
423205-11460,641,2104
423205-11480-A01,650,2113
423205-11480-A0U,659,2122
423205-11480-B1R,668,2131
423205-11480-B2M,677,2140
423205-11480-C0H,686,2149
423205-11480-E2V,695,2158
423205-11480-E35,704,2167
423205-11480-J4N,713,2176
423205-11480-G3C,722,2185
423207-11180,731,2194
423207-11200-A01,740,2203
423207-11200-A0U,749,2212
423207-11200-B1R,758,2221
423207-11200-B2M,767,2230
423207-11200-C0H,776,2239
423207-11200-E2V,785,2248
423207-11200-E35,794,2257
423207-11200-J4N,803,2266
423207-11200-G3C,812,2275
423205-11480-E24,821,2284
423207-11200-E24,830,2293
423205-10720-A01,839,2302
423205-10720-B1L,848,2311
423205-10720-B2M,857,2320
423205-10720-C0H,866,2329
423205-10720-F10,875,2338
423205-10720-E2N,884,2347
423205-10720-E37,893,2356
423205-10740,902,2365
484170-10850,911,2374
484170-10870-A01,920,2383
484170-10870-B1L,929,2392
484170-10870-B2M,938,2401
484170-10870-C0H,947,2410
484170-10870-F10,956,2419
484170-10870-E2N,965,2428
484170-10870-E37,974,2437
423110-13830,983,2446
423110-13820-A01,992,2455
423110-13820-A0U,1001,2464
423110-13820-B1R,1010,2473
423110-13820-B2M,1019,2482
423110-13820-C0H,1028,2491
423110-13820-E2V,1037,2500
423110-13820-E35,1046,2509
423110-13820-J4N,1055,2518
423110-13820-G3C,1064,2527
423110-13820-E24,1073,2536
423110-14180-A01,1082,2545
423110-14180-B1L,1091,2554
423110-14180-B2M,1100,2563
423110-14180-C0H,1109,2572
423110-14180-F10,1118,2581
423110-14180-E2N,1127,2590
423110-14180-E37,1136,2599
423110-14190,1145,2608
423130-11870-A01,1154,2617
423130-11870-B1L,1163,2626
423130-11870-B2M,1172,2635
423130-11870-C0H,1181,2644
423130-11870-F10,1190,2653
423130-11870-E2N,1199,2662
423130-11870-E37,1208,2671
423130-11880,1217,2680
423110-13430,1226,2689
423120-10700,1235,2698
423110-13160,1244,2707
423120-10640,1253,2716
423130-11790-058,1262,2725
423130-11790-A0A,1271,2734
423130-11790-8V6,1280,2743
423130-11780,1289,2752
423130-11790-1J3,1298,2761
423130-11790-B1L,1307,2770
423120-13690-1J3,1316,2779
423120-13690-058,1325,2788
423120-13690-B1L,1334,2797
423110-13690-215,1343,2806
423110-13690-8V6,1352,2815
423110-13640,5,100
423110-13690-1J3,8,160
423140-11780,11,220
423110-13690-058,14,280
423120-13690-8V6,17,340
423140-11790-A0A,20,400
423140-11790-8V6,23,460
423110-13690-B1L,26,520
423140-11790-1J3,29,580
423140-11790-B1L,32,640
423140-11790-058,35,700
423120-13690-215,38,760
423120-13640,41,820
423130-11790-3S1,44,880
423140-11790-3S1,47,940
423120-13690-3S1,50,1000
423110-13690-3S1,53,1060
423207-10200,56,1120
423205-10050,59,1180
423205-10030,62,1240
423207-10420,65,1300
423207-10420,68,1360
423207-10420,71,1420
423207-10420,74,1480
423207-10420,77,1540
423207-10420,78,1541
423207-10420,79,1542
423207-10210,80,1543
423207-10420,81,1544
423207-10420,82,1545
423207-10420-218,83,1546
423207-10200,84,1547
423205-10050,85,1548
423207-10210,86,1549
423110-10410,87,1550
423110-10410,88,1551
423111-10100,89,1552
423110-13820-A01,90,1553
423110-13820-A0U,91,1554
423110-13820-B1R,92,1555
423110-13820-B2M,93,1556
423110-13820-C0H,94,1557
423110-13820-E2V,95,1558
423110-13820-E35,96,1559
423110-13820-J4N,97,1560
423110-13820-G3C,98,1561
423110-13820-E24,99,1562
423205-11460,100,1563
423205-11480-A01,101,1564
423205-11480-A0U,110,1573
423205-11480-B1R,119,1582
423205-11480-B2M,128,1591
423205-11480-C0H,137,1600
423205-11480-E2V,146,1609
423205-11480-E35,155,1618
423205-11480-J4N,164,1627
423205-11480-G3C,173,1636
423207-11180,182,1645
423207-11200-A01,191,1654
423207-11200-A0U,200,1663
423207-11200-B1R,209,1672
423207-11200-B2M,218,1681
423207-11200-C0H,227,1690
423207-11200-E2V,236,1699
423207-11200-E35,245,1708
423207-11200-J4N,254,1717
423207-11200-G3C,263,1726
423205-11480-E24,272,1735
423207-11200-E24,281,1744
423205-10720-A01,290,1753
423205-10720-B1L,299,1762
423205-10720-B2M,308,1771
423205-10720-C0H,317,1780
423205-10720-F10,326,1789
423205-10720-E2N,335,1798
423205-10720-E37,344,1807
423205-10740,353,1816
423207-10210,362,1825
423207-10210,371,1834
455105-10890,380,1843
455105-10950,389,1852
455105-10970,398,1861
455106-10780,407,1870
455106-10830,416,1879
455106-10840,425,1888
455107-10920,434,1897
455107-10980,443,1906
455107-11010,452,1915
455107-11020,461,1924
455108-10900,470,1933
455108-10950,479,1942
455108-10970,488,1951
455111-11880,497,1960
455111-12140,506,1969
455111-12290,515,1978
455112-11920,524,1987
455112-12140,533,1996
455112-12220,542,2005
455121-11430,551,2014
455121-11540,560,2023
455121-11590,569,2032
455121-11600,578,2041
455122-11330,587,2050
455122-11370,596,2059
455122-11390,605,2068
455122-11410,614,2077
455167-15990,623,2086
455167-16010,632,2095
455167-16020,641,2104
455167-16030,650,2113
455167-16460,659,2122
455167-16600,668,2131
455169-13370,677,2140
455169-13380,686,2149
455177-10360,695,2158
455177-11960,704,2167
455179-14350,713,2176
455179-14440,722,2185
455179-14450,731,2194
455179-14460,740,2203
455179-14560,749,2212
455179-14770,758,2221
455179-15270,767,2230
455179-15320,776,2239
455179-15590,785,2248
455179-15760,794,2257
455179-15770,803,2266
455179-15780,812,2275
455179-15790,821,2284
455179-16040,830,2293
423194-10030,839,2302
423115-10080,848,2311
423325-10020,857,2320
423196-10020,866,2329
423194-10110,875,2338
423115-10500,884,2347
423351-10380,893,2356
484120-10150,902,2365
484105-10150,911,2374
423194-10180,920,2383
423196-10330,929,2392
423116-10780,938,2401
484120-10771,947,2410
423281-10190,956,2419
423116-11030,965,2428
423116-11040,974,2437
484133-10570,983,2446
484107-10140,992,2455
423196-10230,1001,2464
423141-10220,1010,2473
423111-12440,1019,2482
982411-04030,1028,2491
423175-10200,1037,2500
423194-10070,1046,2509
423357-10100,1055,2518
982411-06086,1064,2527
423185-10060,1073,2536
423181-10870,1082,2545
423175-10470,1091,2554
423112-10850,1100,2563
423186-10060,1109,2572
423182-10690,1118,2581
423188-10050,1127,2590
994612-10400,1136,2599
423196-10250,1145,2608
423181-11070,1154,2617
423185-10040,1163,2626
423186-10040,1172,2635
423194-10250,1181,2644
423192-10221,1190,2653
423196-10220,1199,2662
423175-10610,1208,2671
423181-11450,1217,2680
423186-10040,1226,2689
424195-10040,1235,2698
423251-10070,1244,2707
423176-10610,1253,2716
423182-11450,1262,2725
423186-10020,1271,2734
423196-10100,1280,2743
423173-10180,1289,2752
423177-10580,1298,2761
423181-11340,1307,2770
423313-11300,1316,2779
423174-10180,1325,2788
423177-10580,1334,2797
423182-10890,1343,2806
423314-11300,1352,2815
423171-10750,5,100
423115-10630,8,160
423115-10610,11,220
484170-10870-A01,14,280
484170-10870-B1L,17,340
484170-10870-B2M,20,400
484170-10870-C0H,23,460
484170-10870-E37,26,520
484170-10870-F10,29,580
484170-10870-E2N,32,640
423187-10010,35,700
424195-10040,38,760
423111-10100,41,820
423277-10990,44,880
423275-11880,47,940
423175-10470,50,1000
423125-10270,53,1060
423126-10240,56,1120
423127-10360,59,1180
423128-10360,62,1240
423110-13820-A01,65,1300
423110-13820-A0U,68,1360
423110-13820-B1R,71,1420
423110-13820-B2M,74,1480
423110-13820-C0H,77,1540
423110-13820-E2V,78,1541
423110-13820-E35,79,1542
423110-13820-J4N,80,1543
423110-13820-G3C,81,1544
423110-13820-E24,82,1545
423205-11460,83,1546
423205-11480-A01,84,1547
423205-11480-A0U,85,1548
423205-11480-B1R,86,1549
423205-11480-B2M,87,1550
423205-11480-C0H,88,1551
423205-11480-E2V,89,1552
423205-11480-E35,90,1553
423205-11480-J4N,91,1554
423205-11480-G3C,92,1555
423207-11180,93,1556
423207-11200-A01,94,1557
423207-11200-A0U,95,1558
423207-11200-B1R,96,1559
423207-11200-B2M,97,1560
423207-11200-C0H,98,1561
423207-11200-E2V,99,1562
423207-11200-E35,100,1563
423207-11200-J4N,101,1564
423207-11200-G3C,110,1573
423205-11480-E24,119,1582
423207-11200-E24,128,1591
423205-10720-A01,137,1600
423205-10720-B1L,146,1609
423205-10720-B2M,155,1618
423205-10720-C0H,164,1627
423205-10720-F10,173,1636
423205-10720-E2N,182,1645
423205-10720-E37,191,1654
423205-10740,200,1663
423207-10210,209,1672
423207-10210,218,1681
423115-11010,227,1690
423117-11010,236,1699
423115-11020,245,1708
423117-11020,254,1717
423275-12280,263,1726
423276-12280,272,1735
423275-12310,281,1744
423276-12310,290,1753
423187-10830,299,1762
423141-11690,308,1771
423142-11690,317,1780
423187-10840,326,1789
423197-10840,335,1798
423175-10620,344,1807
423176-10620,353,1816
423181-11470,362,1825
423182-11470,371,1834
484120-10900,380,1843
484120-10820,389,1852
484151-10220,398,1861
484161-10140,407,1870
423115-10860,416,1879
423117-10860,425,1888
423125-10380,434,1897
423126-10380,443,1906
423194-10170,452,1915
423192-10200,461,1924
432721-10590,470,1933
432722-10550,479,1942
455167-15850,488,1951
455167-16000,497,1960
426110-10600,506,1969
426120-10650,515,1978
426120-10730,524,1987
423670-11010,533,1996
423670-11020,542,2005
423680-11040,551,2014
423680-10890,560,2023
413110-10410,569,2032
413120-10470,578,2041
414540-10600,587,2050
414540-10610,596,2059
414530-10380,605,2068
414530-10390,614,2077
416740-10300,623,2086
416520-10430,632,2095
416520-10440,641,2104
423105-11140,650,2113
423106-10680,659,2122
423107-11800,668,2131
423108-11800,677,2140
484170-10870-A01,686,2149
484170-10870-B1L,695,2158
484170-10870-B2M,704,2167
484170-10870-C0H,713,2176
484170-10870-E2N,722,2185
484170-10870-F10,731,2194
484170-10870-E37,740,2203
423110-14180-A01,749,2212
